Country,Fertility
Afghanistan,4.5
Albania,1.6
Algeria,3
Andorra,1.3
Angola,5.5
Antigua and Barbuda,2
Argentina,2.3
Armenia,1.8
Aruba,1.9
Australia,1.7
Austria,1.5
Azerbaijan,1.7
Bahrain,2
Bangladesh,2
Barbados,1.6
Belarus,1.4
Belgium,1.6
Belize,2.3
Benin,4.8
Bermuda,1.6
Bhutan,2
Bolivia,2.7
Bosnia and Herzegovina,1.3
Botswana,2.9
Brazil,1.7
Brunei,1.8
Bulgaria,1.6
Burkina Faso,5.2
Burundi,5.4
Cambodia,2.5
Cameroon,4.6
Canada,1.5
Cape Verde,2.3
Central African Republic,4.7
Chad,5.7
Chile,1.6
China,1.7
Colombia,1.8
Comoros,4.2
Costa Rica,1.8
Croatia,1.5
Cuba,1.6
Curacao,1.7
Cyprus,1.3
Czech Republic,1.7
Democratic Republic of the Congo,5.9
Denmark,1.7
Djibouti,2.7
Dominica,1.9
Dominican Republic,2.3
East Timor,4
Ecuador,2.4
Egypt,3.3
El Salvador,2
Equatorial Guinea,4.5
Eritrea,4.1
Estonia,1.7
Eswatini,3
Ethiopia,4.2
Faroe Islands,2.5
Fiji,2.8
Finland,1.4
France,1.9
French Polynesia,1.9
Gabon,4
Georgia,2.1
Germany,1.6
Ghana,3.9
Greece,1.4
Greenland,2
Grenada,2.1
Guam,2.3
Guatemala,2.9
Guinea,4.7
Guyana,2.5
Haiti,2.9
Honduras,2.5
Hong Kong,1.1
Hungary,1.6
Iceland,1.7
India,2.2
Indonesia,2.3
Iran,2.9
Iraq,3.7
Ireland,1.8
Isle of Man,1.6
Israel,2.4
Italy,1.3
Ivory Coast,4.6
Jamaica,2
Japan,1.4
Jordan,2.8
Kazakhstan,2.8
Kenya,3.5
Kiribati,3.6
Kuwait,2.1
Kyrgyzstan,3.3
Laos,2.7
Latvia,1.6
Lebanon,2.1
Lesotho,3.1
Liberia,4.3
Libya,2.2
Liechtenstein,1.6
Lithuania,1.6
Luxembourg,1.4
Macau,1.2
Madagascar,4.1
Malawi,4.2
Malaysia,2
Maldives,1.9
Mali,5.9
Malta,1.2
Marshall Islands,4
Mauritania,4.6
Mauritius,1.4
Mexico,2.1
Micronesia,3.1
Moldova,1.3
Mongolia,2.9
Montenegro,1.7
Morocco,3.1
Mozambique,4.9
Myanmar,2.2
Namibia,3.4
Nepal,1.9
Netherlands,1.6
New Caledonia,2
New Zealand,1.7
Nicaragua,2.4
Niger,5.3
Nigeria,5.4
North Korea,1.9
North Macedonia,1.5
Norway,1.6
Oman,2.9
Pakistan,3.5
Palau,2.2
Panama,2.5
Papua New Guinea,3.6
Paraguay,2.4
Peru,2.3
Philippines,2.6
Poland,1.5
Portugal,1.4
Qatar,1.9
Republic of the Congo,4.4
Romania,1.8
Russia,1.82
Rwanda,4
Saint Martin,1.8
Samoa,3.9
San Marino,1.3
Sao Tome and Principe,4.3
Saudi Arabia,2.3
Senegal,4.6
Serbia,1.5
Seychelles,2.4
Sierra Leone,4.3
Singapore,1.1
Sint Maarten,2
Slovenia,1.6
Solomon Islands,4.4
Somalia,6.1
South Africa,2.4
South Korea,1.6
South Sudan,4.7
Spain,1.3
Sri Lanka,2.2
Sudan,4.4
Suriname,2.4
Sweden,1.8
Switzerland,1.5
Syria,2.8
Tajikistan,3.6
Tanzania,4.9
Thailand,1.5
The Bahamas,1.8
The Gambia,5.2
Togo,4.3
Tonga,3.6
Trinidad and Tobago,1.7
Tunisia,2.2
Turkey,2.1
Turkmenistan,2.8
Uganda,5
Ukraine,1.3
United Arab Emirates,1.4
United Kingdom,1.7
United States,1.7
Uruguay,2
Uzbekistan,2.4
Vanuatu,3.8
Venezuela,2.3
Vietnam,2
Virgin Islands,2.1
Yemen,3.8
Zambia,4.6
Zimbabwe,3.6
