urbanization_rate_country,urbanization_rate,suicide_rate,meat_consumption,gdp_per_capita,fertility,ladder_score,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Monaco,100,,,,,,,,,,,
Nauru,100,,,9073,,,,,,,,
Singapore,100,7.9,71.1,105689,1.1,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193
Anguilla,100,,,,,,,,,,,
Bermuda,100,,,,1.6,,,,,,,
Cayman Islands,100,,,,,,,,,,,
Gibraltar,100,,,,,,,,,,,
Hong Kong,100,,,66527,1.1,,,,,,,
Macau,100,,,113352,1.2,,,,,,,
Sint Maarten,100,,,,2,,,,,,,
Qatar,99.2,5.8,90.5,,1.9,,,,,,,
Belgium,98.1,15.7,86.1,50904,1.6,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952
San Marino,97.5,,,62913,1.3,,,,,,,
Uruguay,95.5,16.5,98.6,24516,2,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136
Guam,94.9,,52.6,,2.3,,,,,,,
Malta,94.7,6.5,86.9,49589,1.2,6.772799969,10.53383827,0.93037951,72.19999695,0.924911439,0.214965805,0.658547282
Iceland,93.9,13.3,84.8,56974,1.7,7.504499912,10.77255917,0.974669576,73,0.948891878,0.246944219,0.711709738
Puerto Rico,93.6,,,41198,,,,,,,,
Turks and Caicos Islands,93.6,,,,,,,,,,,
Israel,92.6,5.2,97.1,40337,2.4,7.128600121,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506
Netherlands,92.2,9.6,89.3,60299,1.6,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126
Argentina,92.1,9.1,79.7,19971,2.3,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842
Northern Mariana Islands,91.8,,,,,,,,,,,
Japan,91.8,14.3,45.9,46827,1.4,5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063
Luxembourg,91.5,10.4,141.7,112045,1.4,7.237500191,11.45068073,0.906912208,72.59999847,0.90563643,-0.004620588,0.367084295
Jordan,91.4,3.7,29.8,9939,2.8,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324
Saint Pierre and Miquelon,90,,,,,,,,,,,
Gabon,90.1,9.6,46,19839,4,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956
Bahrain,89.5,5.7,70.7,51991,2,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471
Curacao,89.1,,,,1.7,,,,,,,
Lebanon,88.9,3.2,63.1,15599,2.1,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625
Venezuela,88.3,3.8,56.6,16055,2.3,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398
Denmark,88.1,9.2,145.9,55675,1.7,7.645599842,10.77400112,0.955990791,72.40250397,0.951444268,0.066201776,0.168489456
Sweden,88,13.8,76.1,55989,1.8,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182
Andorra,87.9,,,,1.3,,,,,,,
Chile,87.7,9.7,66.4,27150,1.6,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431
American Samoa,87.2,,24.9,,,,,,,,,
Greenland,87.3,11.3,63.4,48182,2,,,,,,,
Western Sahara,86.8,,,,,,,,,,,
Brazil,87.1,6.1,82.4,17106,1.7,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273
United Arab Emirates,87,2.7,74.4,70441,1.4,6.790800095,11.1099987,0.849181116,67.08278656,0.941345513,0.123450845,0.594502211
New Zealand,86.7,11.6,142.1,42045,1.7,7.299600124,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885
Oman,86.3,3.5,49.8,48593,2.9,,,,,,,
Australia,86.2,11.7,108.2,54799,1.7,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912
Finland,85.5,11.7,67.4,49548,1.4,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019,0.195444584
Saudi Arabia,84.3,3.4,44.6,56912,2.3,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512
United Kingdom,83.9,7.6,79.6,48169,1.7,7.164500237,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.435915917
The Bahamas,83.2,1.6,123.6,33432,1.8,,,,,,,
Norway,83,10.1,61.7,79638,1.6,7.487999916,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.263218194
United States,82.7,13.7,124.8,67426,1.7,6.939599991,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316
Dominican Republic,82.5,10.5,37.8,20625,2.3,5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923
Canada,81.6,10.4,108.1,52144,1.5,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362
South Korea,81.4,20.2,48,46452,1.6,5.872399807,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447
Colombia,81.4,7,33.9,16265,1.8,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181
France,81,12.1,101.1,48640,1.9,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128
Palau,81,,,16855,2.2,,,,,,,
Spain,80.8,6.1,118.6,43007,1.3,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902
Costa Rica,80.8,7.5,40.4,18651,1.8,7.121399879,9.658156395,0.901545942,71.29985046,0.934738934,-0.10242971,0.786332428
Mexico,80.7,5.2,58.6,21363,2.1,6.465000153,9.797797203,0.838665426,68.29902649,0.858709276,-0.175266623,0.806821585
Libya,80.7,5.5,28.6,9446,2.2,5.488800049,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135
Greece,79.7,3.8,78.7,31616,1.4,5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409
Belarus,79.5,21.4,58.6,21224,1.4,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167
Taiwan,78.9,,,57214,,,,,,,,
Peru,78.3,5.1,34.5,15399,2.3,5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964
Brunei,78.3,4.5,,85011,1.8,,,,,,,
Djibouti,78.1,8.5,17.1,5855,2.7,,,,,,,
Marshall Islands,77.8,,,3972,4,,,,,,,
Germany,77.5,9.1,82.1,55306,1.6,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031
Cuba,77.2,10.1,32.2,8822,1.6,,,,,,,
Malaysia,77.2,6.2,50.9,34567,2,5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301
Palestine,76.7,,,,,,,,,,,
Turkey,76.1,7.2,19.3,29327,2.1,5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377
Cook Islands,75.5,,,,,,,,,,,
Iran,75.9,4,23.1,17832,2.9,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,0.714635968
Bulgaria,75.7,7.9,69.4,26034,1.6,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141
Russia,74.8,26.5,51,30820,1.82,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599
Czech Republic,74.1,10.5,77.3,40585,1.7,6.910900116,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624
Switzerland,73.9,11.3,72.9,67558,1.5,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431
Algeria,73.7,3.3,18.3,16091,3,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137
El Salvador,73.4,13.5,21.4,8593,2,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906
Equatorial Guinea,73.1,22,,19961,4.5,,,,,,,
Hungary,71.9,13.6,100.7,35941,1.6,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501
